"135,00+ Flights","135,00+ полети"
A confirmation email has been sent to your provided email address.,Имейл за потвърждение е изпратена до условие вашия имейл адрес.
About,Относно
About Delta Airlines,За Delta Airlines
About Flights.com,За Flights.com
About You,Относно теб
Account Activation,Активиране на профила
Account Settings,Настройки на профила
Activation Email,Активирането Email
Activation failed.,Активирането се провали.
Add Airline,Добави Airline
Add Airport,Добави летище
Add Airports,Добави Летища
Add Amenity,Добави Amenity
Add another person,Добавяне на друг човек
Add Category,Добави Категория
Add Destination,Добавяне на направление
Add Feature,Добави Feature
Add Flight,Добави Flight
Add Hotel,Добави хотел
Add Inflight Feature,Добави Бордно Feature
Add Package,Добави пакет
Add Sites,Добавяне на сайтове
Add Translation,Добави преводи
Add User,Добавяне на потребител
Address,адрес
Adult Price,Възрастен Цена
Adults,Възрастни
Airline,авиолиния
Airlines,Авиалинии
Airports,Летища
All flights in the system,Всички полети в системата
All hotels in the system,Всички хотели в системата
Already a Flights.com member? ,Вече си член Flights.com?
Amazing Places,невероятни места
Amount,Количество
anytime,по всяко време
Are you sure you want to deletе this item?,Сигурни ли сте че искате да deletе този елемент?
Are you sure?,Сигурен ли си?
Arrival,Пристигане
Arrive At,Пристигане в
Arriving On,Пристигане На
Author,автор
Available,На разположение
Available Features,Налични функции
AVG/PERSON,AVG / човек
Baggage,багаж
Base fare,Базова цена
Basic Information,Основна информация
Before you Fly,Преди да летя
Best Price Guarantee,Най-добра цена за гарантиране
Best value for frequent travelers,Най-добро съотношение често пътуващи
BOOK,Резервирай
book flight now,книга полет сега
Book your Bags in Advance,Резервирайте си чанти в Advance
booked on,картон на
Booking,резервация
Booking #,Резервация #
Booking Confirmation,Потвърждението на резервацията
Booking Details,Резервация Детайли
Booking number,Номер на резервация
Bookings,Резервации
Both emails not match,И двете писма не съвпадат
Both passwords not match,Двете пароли не съвпадат
"By continuing, you agree to the Terms and Conditions.","Продължавайки, Вие се съгласявате с Условията за ползване."
"By signing up, I agree to Flights.com Terms of Service, Privacy Policy, Guest Refund Policy, and Host Guarantee Terms.","Като се регистрирате, аз съм съгласен да Flights.com Условия за ползване, Поверителност, възстановяване на средства за гости на политиката, както и реда за гарантиране на домакин."
Cancel,Отказ
Cancel Price,Отмени Цена
Cancellation,анулиране
CANCELLED,ОТМЕНЕН
Capacity,Капацитет
Card holder name,Име на притежателя на картата
Card identification number,Идентифициране на картата брой
Card number,Номер на карта
Change,промяна
Change Your Password,Смените паролата си
Cheap Flights,Евтини полети
Check your Flight Status,Провери си полета Status
City,град
"city, distirct or specific airpot","град, областна или специфична airpot"
"city, district, or specific airpot","град, квартал, или специфична airpot"
Client,клиент
Comment,коментар
Comments,Коментари
Comments posted by users,Коментари публикувано от потребители
Confirm,потвърждавам
Confirm email address,Потвърдете имейл адреса
Confirm New password,Потвърждение на новата парола
confirm password,потвърди парола
Contact Details,Данни за контакт
Country,Държава
Coverage for non-award,Покритие за не-награда
Credit Card Type,Тип на кредитната карта
Customer Care,Грижа за клиента
Database with international airports,База данни с международни летища
Delete Item,Изтриване на елемент
Depart From,Тръгвам от
Departing On,заминаващи
Departure,тръгване
Departure on,Отпътуване за
Describe Yourself,Опиши се
Description,описание
Destinations,Дестинации
Details,детайли
Discover,Discover
Don't have an account? ,Не сте се регистрирали?
Duration,продължителност
Edit,редактиране
EDIT PROFILE,РЕДАКТИРАЙ ПРОФИЛ
Email Activation,Email активиране
email address,имейл адрес
Email confirmation,потвърждение Email
Enter New Password,Enter New Password
Excellent Support,Отлична поддръжка
Existing flight destinations,Съществуващите дестинации за полети
Existing flight' routes,"Съществуващите пътища полет """
Existing flight's routes,Съществуващите пътища за полети на
Existing hotel packages,Съществуващите хотелски пакети
Expiration Date,Срок на годност
Expire Date,Краен срок
Fare Rules,Fare Правила
Fare Rules for your Flight,Fare Правила за полет
Fare type,тип Fare
Feature Symbol,Feature Symbol
Featured Flight Deals,Избрани оферти Самолетни
Features,Характеристика
Features Style 01,Характеристики Стил 01
File '%value%' was not uploaded,"Файл ""%% стойност"" не е качен"
first name,първо име
Firstname,Първо име
Flight #,Flight #
Flight Booking,Flight Booking
Flight CHange,Flight промяна
Flight Detailed,Flight Детайлен
Flight Details,Данни за полета
Flight Duration,Flight Продължителност
Flight Search Results,Резултати Flight Search
Flight Stops,Самолетни Спира
Flight Times,Flight Times
Flight Type,Вид Flight
Flight#,Flight #
Flights,Полети
Flights.com | Administration,Flights.com | администрация
Flights.com | Login,Flights.com | Влизане
Forgot password?,Забравена парола?
From,от
Fullname,Пълно име
Get Travel Insurance,Вземете Travel Insurance
Going To,Отивам до
H,Н
Home,У дома
Hotel,хотел
Hotel Search,Hotel Search
Hotel Type,Хотел Вид
Hotels,Хотели
hour,час
Hours,Часа
IATA,IATA
ICAO,ICAO
Image,Изображение
Infant Price,Детската Цена
Infants,Бебета
Inflight Experience,Бордно Experience
Inflight Features,самолетни функции
Invalid username or password,Невалидно потребителско име или парола
Kids,Децата
landing,приземяване
Language,език
last name,фамилно име
Last Reservations,Последни резервации
Lastname,Фамилно име
Latest Comments,Най-новите коментари
Latest Sites,Най-новите сайтове
Latitude,Географска ширина
Layover ,престой
Leaving From,Оставянето От
Let's Discover the world together!,Нека Открийте света заедно!
Link is invalid or activation code has been expired,Link е невалиден или код за активиране е изтекла
Locale,място
Location,местоположение
logging in...,влезете в ...
Login,Влизане
Logo,Logo
Logout,Излез от профила си
Longitude,дължина
Low Rates &amp; Savings,Ниски цени & усилвател; спестявания
m,м
Mailing List,Пощенски списък
MAKE BOOKING,НАПРАВИ РЕЗЕРВАЦИЯ
Max Price,Max Цена
Mins,Мин
minutes,минути
Modify Search,Промени критериите за търсене
"More than 13,000 Places",Повече от 13000 места
morning,сутрин
Multi-Trip (Annual) Plans,Multi-Trip (годишни) Планове
MY ACCOUNT,МОЯТА СМЕТКА
Name,име
Need Flights Help?,Нуждаете се от помощ полети?
New Packages,Нови пакети
No translation for the language 'bg' available.,"Не превод за ""бг"" език на разположение."
No translation for the language 'en' available.,"Не превод на езика ""ен"" на разположение."
Nunc cursus libero pur congue arut nimspnty.,Nunc cursus либеро PUR congue arut nimspnty.
Nunc cursus libero purus ac congue ar lorem cursus ut sed pulvinar massa iden porta nequetiam elerisque mi id habitant morbi tristique senectus.,Nunc cursus либеро Пурус ав congue ар Lorem cursus ут SED пулвинара Маса иден Porta nequetiam elerisque ми ID жител Morbi tristique senectus.
Nunc cursus libero purus ac congue arcu cursus ut sed vitae pulvinar massaidp nequetiam lore elerisque.,Nunc cursus либеро Пурус ав congue arcu cursus UT СЕД автобиография пулвинара massaidp nequetiam ерудиция elerisque.
Old Password,Стара парола
oneway,еднопосочен
Oneway flight,Еднопосочен полет
Other Details,Други Детайли
Over 500 Airlines,Над 500 Airlines
Package,Пакет
Packages,Пакети
Passenger,Пътник
Passport,паспорт
Passport / ID expiration date,Паспорт / лична срок на годност
Passport /ID Number,Passport / ID номер
Password,парола
Password again,Паролата отново
Payment,плащане
Payment Info,Информация за плащане
Payment is made by Credit Card Via Paypal.,Плащането се извършва чрез кредитна карта през Paypal.
person,човек
Personal Details,Лични данни
Photo,снимка
Please authorize yourself to continue,Моля да разрешат сами да продължи
Please confirm your email address by clicking the link below.,"Моля, потвърдете Вашия имейл адрес, като кликнете на линка по-долу."
Please enter email again,"Моля, въведете имейл отново"
Please enter password again,"Моля, въведете паролата отново"
Please enter your username and password,"Моля, въведете вашето потребителско име и парола"
Please provide airline name,"Моля, въведете име на авиокомпанията"
Please provide airport name,"Моля, въведете име на летището"
Please provide city,"Моля, посочете град"
Please provide country,"Моля, дайте страна"
Please provide email,"Моля, посочете имейл"
Please provide feature symbol,"Моля, дайте функция символ"
Please provide first name,"Моля, посочете собствено име"
Please provide firstname,"Моля, дайте FirstName"
Please provide fullname,"Моля, дайте FULLNAME"
Please provide iata code,"Моля, дайте IATA код"
Please provide icao code,"Моля, дайте ICAO код"
Please provide last name,"Моля, дайте фамилия"
Please provide lastname,"Моля, дайте фамилия"
Please provide password,Моля да предоставите парола
Please provide username,Моля да предоставите потребителско име
Please provide valid email,Моля да предоставите валиден имейл
Please provide valid login,Моля да предоставите валиден вход
please tell us about you,"Моля, кажете ни ви"
"Praesent dolor lectus, rutrum sit amet risus vitae, imperdiet cursus neque. Nulla tempor nec lorem eu suscipit. Donec dignissim lectus a nunc molestie consectetur. Nulla eu urna in nisi adipiscing placerat.","Свържете се с нас печал lectus, rutrum седне Амет RISUS автобиография, imperdiet cursus neque. Nulla tempor некласифицирани другаде Lorem ЕС suscipit. Donec dignissim lectus а занапред molestie consectetur. Nulla ЕС urna в НИСИ adipiscing placerat."
Price,Цена
Price Per Passanger,Цена сума за всеки пътник
Profile,профил
Refundable,подлежи на възстановяване
Registered Hotels,Регистрираните хотели
Remove,Премахване
Remove Passanger,Премахване на пътник
Remove Translation,Премахване на преводи
Rental Car Damage Protector,Кола под наем Protector Damage
Reservations,Резервации
Reservations received,получени резервации
results found.,намерени резултати.
Role,роля
Save,Save
Search,Търсене
search again,търсите отново
Search Results,Резултати от търсенето
Seat Selection,Избор Seat
Seats,седалки
Seats &amp; Baggage,Седалки & усилвател; багаж
Select,Изберете
SELECT NOW,SELECT ПРЕДПРИЯТИЕТО
Select your Seats,Изберете си Седалки
SERACH NOW,търсене с ПРЕДПРИЯТИЕТО
Settings,Настройки
Sign up,Регистрирай се
Sign up for our mailing list to get latest updates and offers.,"Запишете се за нашия пощенски списък, за да получите най-новите актуализации и оферти."
SIGNUP,РЕГИСТРИРАЙ СЕ
Signup Complete,Регистрацията е завършена
Single Trip Plans,Единични планира пътуването
Sites,сайтове
Sort results by,Подреди резултатите по
Special Meal Requests,Специални изисквания хранене
Status,Статус
STOP,СПРИ СЕ
Stops,Спира
street,улица
Symbol,символ
Take off,"Махам от себе си, събличам"
Taxes,Данъци
Taxes &amp; Fees,Данъци & усилвател; Такси
Thank You,Благодаря
Thank You. Email confirmation sent.,Благодаря. потвърждение изпратен имейл.
Thank You. Your account has been activated.,Благодаря. Вашият профил е бил активиран.
Thank You. Your Booking Order is Confirmed Now.,Благодаря. Вашата резервация поръчката е потвърдена Сега.
Thank You. Your email has been activated.,Благодаря. Вашият имейл е бил активиран.
"The number of bags, the charges and allowable dimensions may vary depending on your flight, the fare and the class in which you are travelling.","Броят на чанти, таксите и допустимите размери могат да варират в зависимост от своя полет, цената на билета и класа, в която пътувате."
"The number of bags, the charges and allowable dimensions may vary depending on your flight, the fare and the class in which you are travelling. That is why we advise you to check the specific baggage information before every flight.","Броят на чанти, таксите и допустимите размери могат да варират в зависимост от своя полет, цената на билета и класа, в която пътувате. Ето защо ние ви съветваме да проверите специфичен багаж информацията преди всеки полет."
