"135,00+ Flights","135,00+ Авиабилеты"
A confirmation email has been sent to your provided email address.,"Письмо с подтверждением было отправлено на ваш адрес электронной почты, при условии."
About,Около
About Delta Airlines,О Delta Airlines
About Flights.com,О Flights.com
About You,О тебе
Account Activation,активация аккаунта
Account Settings,Настройки аккаунта
Activation Email,Активация E-mail
Activation failed.,Активация не удалось.
Add Airline,Добавить Авиакомпания
Add Airport,Добавить аэропорт
Add Airports,Добавить Аэропорты
Add Amenity,Добавить Удобство
Add another person,Добавить еще один человек
Add Category,Добавить категорию
Add Destination,Добавить пункт назначения
Add Feature,Добавить компонент
Add Flight,Добавить рейс
Add Hotel,Добавить отель
Add Inflight Feature,Добавить Inflight Feature
Add Package,Добавить пакет
Add Sites,Добавить сайты
Add Translation,Добавить перевод
Add User,Добавить пользователя
Address,Адрес
Adult Price,Взрослый Цена
Adults,Взрослые
Airline,авиакомпания
Airlines,Авиакомпании
Airports,Аэропорты
All flights in the system,Все полеты в системе
All hotels in the system,Все отели в системе
Already a Flights.com member? ,Уже зарегистрирован Flights.com?
Amazing Places,Удивительные места
Amount,Количество
anytime,в любой момент
Are you sure you want to deletе this item?,"Вы уверены, что хотите deletе этот предмет?"
Are you sure?,Ты уверен?
Arrival,прибытие
Arrive At,Прибытие в
Arriving On,Прибыв на
Author,автор
Available,Доступный
Available Features,Доступные функции
AVG/PERSON,AVG / ЛИЦО
Baggage,Багаж
Base fare,Базовый тариф
Basic Information,Основная информация
Before you Fly,"Перед тем, как летать"
Best Price Guarantee,Гарантия лучшей цены
Best value for frequent travelers,Лучшее соотношение для частых путешественников
BOOK,КНИГА
book flight now,книга рейс в настоящее время
Book your Bags in Advance,Присылайте ваши сумки заранее
booked on,забронированы
Booking,бронирование
Booking #,Booking #
Booking Confirmation,Подтверждение бронирования
Booking Details,Детали бронирования
Booking number,Номер заказа
Bookings,Бронирование
Both emails not match,Оба письма не совпадают
Both passwords not match,Оба пароля не совпадают
"By continuing, you agree to the Terms and Conditions.","Продолжая, вы соглашаетесь с Правилами и Условиями."
"By signing up, I agree to Flights.com Terms of Service, Privacy Policy, Guest Refund Policy, and Host Guarantee Terms.","Зарегистрировавшись, я согласен Flights.com Условия предоставления услуг, Политика конфиденциальности, Гость Политика возврата и гарантии хоста Условий."
Cancel,Отмена
Cancel Price,Отмена Цена
Cancellation,аннулирование
CANCELLED,ОТМЕНЕН
Capacity,Вместимость
Card holder name,Имя владельца карты
Card identification number,идентификационный номер карты
Card number,Номер карты
Change,+ Изменить
Change Your Password,Измените свой пароль
Cheap Flights,Дешевые перелеты
Check your Flight Status,Проверьте статус полета
City,город
"city, distirct or specific airpot","город, distirct или конкретных Airpot"
"city, district, or specific airpot","город, район, или конкретный Airpot"
Client,клиент
Comment,Комментарий
Comments,Комментарии
Comments posted by users,Коментарии пользователей
Confirm,подтвердить
Confirm email address,Подтвердите адрес электронной почты
Confirm New password,Подтвердите новый пароль
confirm password,Подтвердите Пароль
Contact Details,Контактная информация
Country,Страна
Coverage for non-award,Покрытие для не-премии
Credit Card Type,Тип кредитной карты
Customer Care,Обслуживание клиентов
Database with international airports,База данных с международными аэропортами
Delete Item,Удалить пункт
Depart From,Вылет из
Departing On,вылетающих
Departure,Вылет из
Departure on,Выезд на
Describe Yourself,Опиши себя
Description,Описание
Destinations,Направления
Details,Детали
Discover,Обнаружить
Don't have an account? ,Не зарегистрированы?
Duration,продолжительность
Edit,редактировать
EDIT PROFILE,РЕДАКТИРОВАТЬ ПРОФИЛЬ
Email Activation,Email активации
email address,адрес электронной почты
Email confirmation,Подтверждение электонной почты
Enter New Password,Введите новый пароль
Excellent Support,Отличная поддержка
Existing flight destinations,Существующие направления полета
Existing flight' routes,"Существующие маршруты полетов """
Existing flight's routes,Существующие маршруты рейса
Existing hotel packages,Существующие гостиничные пакеты
Expiration Date,Срок годности
Expire Date,Годен до
Fare Rules,Правила тарифа
Fare Rules for your Flight,Стоимость проезда Правила для вашего полета
Fare type,Тип тарифа
Feature Symbol,Функция Symbol
Featured Flight Deals,Популярные предложения авиарейсов
Features,Особенности
Features Style 01,Особенности Стиль 01
File '%value%' was not uploaded,Файл '% значение%' не была загружена
first name,имя
Firstname,Имя
Flight #,Полет #
Flight Booking,Бронирование авиабилетов
Flight CHange,Полет CHANGE
Flight Detailed,Полет Подробная
Flight Details,Детали рейсов
Flight Duration,Продолжительность полета
Flight Search Results,Результаты поиска рейса
Flight Stops,Летные остановки
Flight Times,Время полета
Flight Type,Тип рейса
Flight#,Рейс#
Flights,рейсов
Flights.com | Administration,Flights.com | администрация
Flights.com | Login,Flights.com | Авторизоваться
Forgot password?,Забыли пароль?
From,Из
Fullname,Полное имя
Get Travel Insurance,Получить Страхование путешествий
Going To,Собираемся
H,ЧАС
Home,Главная
Hotel,Гостиница
Hotel Search,Поиск отеля
Hotel Type,Тип отеля
Hotels,Отели
hour,час
Hours,часов
IATA,IATA
ICAO,ИКАО
Image,Образ
Infant Price,Младенец Цена
Infants,дети
Inflight Experience,Inflight Опыт работы
Inflight Features,Сел Особенности
Invalid username or password,неправильное имя пользователя или пароль
Kids,Дети
landing,посадка
Language,язык
last name,Фамилия
Last Reservations,Последние Оговорки
Lastname,Фамилия
Latest Comments,Последние комментарии
Latest Sites,Последние Сайты
Latitude,широта
Layover ,остановка
Leaving From,Оставляя Из
Let's Discover the world together!,Давайте Откройте для себя мир вместе!
Link is invalid or activation code has been expired,Ссылка является недействительным или код активации истек срок
Locale,место действия
Location,Место нахождения
logging in...,Вход в систему...
Login,Авторизоваться
Logo,логотип
Logout,Выйти
Longitude,долгота
Low Rates &amp; Savings,Низкие цены и усилителя; экономия
m,м
Mailing List,Список рассылки
MAKE BOOKING,БРОНИРОВАНИЕ
Max Price,Макс цена
Mins,Mins
minutes,минут
Modify Search,Изменить поиск
"More than 13,000 Places",Более 13000 мест
morning,утро
Multi-Trip (Annual) Plans,Многоразовых (годовые) планы
MY ACCOUNT,МОЙ АККАУНТ
Name,имя
Need Flights Help?,Нужна помощь Авиабилеты?
New Packages,Новые пакеты
No translation for the language 'bg' available.,Нет перевода для языка '' BG доступны.
No translation for the language 'en' available.,Нет перевода для языка 'ан' доступны.
Nunc cursus libero pur congue arut nimspnty.,Nunc Cursus либеро пур congue Arut nimspnty.
Nunc cursus libero purus ac congue ar lorem cursus ut sed pulvinar massa iden porta nequetiam elerisque mi id habitant morbi tristique senectus.,Nunc Cursus либеро Purus ас congue ар Lorem Cursus ут СЕПГ pulvinar Massa IDEN nequetiam elerisque Porta миль ID обитатель MORBI tristique senectus.
Nunc cursus libero purus ac congue arcu cursus ut sed vitae pulvinar massaidp nequetiam lore elerisque.,Nunc Cursus либеро Purus ас congue arcu Cursus Ut СЭД витэ pulvinar massaidp nequetiam Lore elerisque.
Old Password,Старый пароль
oneway,в одну сторону
Oneway flight,Oneway полета
Other Details,Другие детали
Over 500 Airlines,Более 500 авиакомпании
Package,пакет
Packages,пакеты
Passenger,пассажир
Passport,Заграничный пасспорт
Passport / ID expiration date,Дата окончания срока действия паспорта / ID
Passport /ID Number,Паспорт / идентификационный номер
Password,пароль
Password again,Пароль еще раз
Payment,Оплата
Payment Info,Платежная информация
Payment is made by Credit Card Via Paypal.,Оплата производится с помощью кредитной карточки через Paypal.
person,человек
Personal Details,Личная информация
Photo,Фото
Please authorize yourself to continue,"Пожалуйста, авторизируйтесь, чтобы продолжить"
Please confirm your email address by clicking the link below.,"Пожалуйста, подтвердите свой адрес электронной почты, нажав на ссылку ниже."
Please enter email again,"Пожалуйста, введите адрес электронной почты еще раз"
Please enter password again,"Пожалуйста, введите пароль еще раз"
Please enter your username and password,Пожалуйста введите свой логин и пароль
Please provide airline name,"Пожалуйста, укажите название авиакомпании"
Please provide airport name,"Пожалуйста, укажите название аэропорта"
Please provide city,"Пожалуйста, укажите город"
Please provide country,Просьба представить страну
Please provide email,Просьба предоставить по электронной почте
Please provide feature symbol,Просьба представить символ функции
Please provide first name,"Пожалуйста, предоставьте имя"
Please provide firstname,Просьба предоставить ПгвЬЫате
Please provide fullname,Просьба предоставить FULLNAME
Please provide iata code,Просьба предоставить код ИАТА
Please provide icao code,Просьба предоставить код ИКАО
Please provide last name,Просьба предоставить фамилию
Please provide lastname,Просьба предоставить ЬавЬЫате
Please provide password,"Пожалуйста, введите пароль"
Please provide username,Просьба предоставить имя пользователя
Please provide valid email,Просьба предоставить действительный адрес электронной почты
Please provide valid login,"Пожалуйста, укажите правильный логин"
please tell us about you,"пожалуйста, сообщите нам о вас"
"Praesent dolor lectus, rutrum sit amet risus vitae, imperdiet cursus neque. Nulla tempor nec lorem eu suscipit. Donec dignissim lectus a nunc molestie consectetur. Nulla eu urna in nisi adipiscing placerat.","Связаться с Нами Dolor Lectus, rutrum сидят Амет Risus витэ, imperdiet Cursus neque. Nulla TEMPOR включенные в другие группировки Lorem ес suscipit. Донец dignissim Lectus Nunc molestie consectetur. Nulla ес Урна в НИСИ adipiscing placerat."
Price,Цена
Price Per Passanger,Цена за пассажира
Profile,Профиль
Refundable,возвращаемый
Registered Hotels,Зарегистрированные Отели
Remove,Удалить
Remove Passanger,Удалить ПАССАЖИРУ
Remove Translation,Удалить перевод
Rental Car Damage Protector,Повреждение протектора Прокат автомобилей
Reservations,Оговорки
Reservations received,"Оговорки, полученные"
results found.,найдено результатов.
Role,Роль
Save,Сохранить
Search,Поиск
search again,искать снова
Search Results,результаты поиска
Seat Selection,Выбор места
Seats,места
Seats &amp; Baggage,Сиденья & Amp; Багаж
Select,Выбрать
SELECT NOW,Теперь выберите
Select your Seats,Выберите свои места
SERACH NOW,SERACH СЕЙЧАС
Settings,настройки
Sign up,зарегистрироваться
Sign up for our mailing list to get latest updates and offers.,"Подпишитесь на нашу рассылку, чтобы получать последние обновления и предложения."
SIGNUP,ЗАРЕГИСТРИРОВАТЬСЯ
Signup Complete,Регистрация Полная
Single Trip Plans,Одноступенчатые планы поездок
Sites,Места
Sort results by,Сортировать результаты по
Special Meal Requests,Специальные пожелания Питание
Status,Положение дел
STOP,СТОП
Stops,остановки
street,улица
Symbol,Символ
Take off,Снимать
Taxes,налоги
Taxes &amp; Fees,Налоги и Amp; сборы
Thank You,Спасибо
Thank You. Email confirmation sent.,Спасибо. Подтверждение по электронной почте было отправлено.
Thank You. Your account has been activated.,Спасибо. Ваша учетная запись была активирована.
Thank You. Your Booking Order is Confirmed Now.,Спасибо. Ваш Заказ заказ подтвержден сейчас.
Thank You. Your email has been activated.,Спасибо. Ваш электронный адрес был активирован.
"The number of bags, the charges and allowable dimensions may vary depending on your flight, the fare and the class in which you are travelling.","Количество мешков, зарядов и допустимые размеры могут варьироваться в зависимости от вашего полета, тарифа и класса, в котором вы путешествуете."
"The number of bags, the charges and allowable dimensions may vary depending on your flight, the fare and the class in which you are travelling. That is why we advise you to check the specific baggage information before every flight.","Количество мешков, зарядов и допустимые размеры могут варьироваться в зависимости от вашего полета, тарифа и класса, в котором вы путешествуете. Именно поэтому мы рекомендуем вам проверить конкретную информацию о багажа перед каждым полетом."
"There are many factors that can affect a flight while it's in the air. Weather, air traffic control directives, congestion on the taxi-ways and more.","Есть много факторов, которые могут повлиять на полет, пока он находится в воздухе. Погода, директивы контроля воздушного движения, заторы на такси пути и многое другое."
This field is required.,Это поле обязательно к заполнению.
To,к
Top Flight Routes,Маршруты Top Flight
total price,Итоговая цена
total time,общее время
Town / City,Город / Город
Translation,Перевод
Translations,Переводы
Travel Insurance,Страхование путешествий
Travel News,Туристические новости
Traveler Information,информация Путешественник
TRIP ID,TRIP ID
Trip Protector,Trip Protector
Trips You have Booked!,Поездки Вы забронировали!
UPCOMING,КАЛЕНДАРЬ
UPDATE PASSWORD,ОБНОВЛЕНИЕ ПАРОЛЯ
UPDATE SETTINGS,ОБНОВИТЬ НАСТРОЙКИ
Upload Profile Photo,Загрузить фото в профиле
user name,имя пользователя
Username,Имя пользователя
username/email address,имя пользователя / адрес электронной почты
Users,пользователей
Verify Email Address,подтвердите адрес электронной почты
View Airlines,Посмотреть Airlines
View Airports,Просмотр Аэропорты
View Amenities,Просмотреть удобства
View Bookings,Просмотр Заказ
View Categories,Просмотреть категории
View Destinations,Посмотреть Направления
View Flights,Показать рейсы
View Hotels,Просмотреть Отели
View Inflight Features,Просмотр Inflight Особенности
View Packages,Просмотреть пакеты
View Reservations,Посмотреть Оговорки
View Sites,Список сайтов
View Users,Просмотр пользователей
We may need to send you critical information about our service and it is important that we have an accurate email address.,"Нам может понадобиться отправить Вам важную информацию о нашем сервисе, и очень важно, что у нас есть точный адрес электронной почты."
We respect your privacy,Мы уважаем вашу конфиденциальность
We would be more than happy to help you. Our team advisor are 24/7 at your service to help you.,"Мы были бы более чем рады помочь вам. Наш консультант команда 24/7 к вашим услугам, чтобы помочь вам."
When,когда
Where,где
Whether you would like a meal for your little ones or a special meal to meet your dietary requirements we will do our best to supply your preferred choice.,"Будь вы хотели бы еду для ваших малышей или специальную еду, чтобы удовлетворить ваши диетические потребности, мы сделаем все от нас зависящее, чтобы поставлять свой предпочтительный выбор."
Who,Кто
Why Book with us?,Почему заказывать у нас?
you are flying,Вы летите
You can use your account now.,Вы можете использовать свой аккаунт сейчас.
Your Card Information,Ваша информация карта
Your Personal Information,Ваша персональная информация
zip,застежка-молния
ZIP code,индекс
